code,coding_system,description,entity,list_name,upload_date,medcode,CharlsonCategory
B06z.00,Read,malignant neoplasm of oropharynx nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,43200,"Any tumour, leukaemia, lymphoma"
B07..00,Read,malignant neoplasm of nasopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,24675,"Any tumour, leukaemia, lymphoma"
B070.00,Read,malignant neoplasm of roof of nasopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,94390,"Any tumour, leukaemia, lymphoma"
B071.00,Read,malignant neoplasm of posterior wall of nasopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95429,"Any tumour, leukaemia, lymphoma"
B071000,Read,malignant neoplasm of adenoid,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,33388,"Any tumour, leukaemia, lymphoma"
B071100,Read,malignant neoplasm of pharyngeal tonsil,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,46548,"Any tumour, leukaemia, lymphoma"
B071z00,Read,malignant neoplasm of posterior wall of nasopharynx nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,96869,"Any tumour, leukaemia, lymphoma"
B072.00,Read,malignant neoplasm of lateral wall of nasopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,59004,"Any tumour, leukaemia, lymphoma"
B072000,Read,malignant neoplasm of pharyngeal recess,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,37940,"Any tumour, leukaemia, lymphoma"
B072z00,Read,malignant neoplasm of lateral wall of nasopharynx nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,102205,"Any tumour, leukaemia, lymphoma"
B073.00,Read,malignant neoplasm of anterior wall of nasopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,44139,"Any tumour, leukaemia, lymphoma"
B073100,Read,malignant neoplasm of nasopharyngeal soft palate surface,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,106915,"Any tumour, leukaemia, lymphoma"
B073200,Read,malignant neoplasm posterior margin nasal septum and choanae,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,99386,"Any tumour, leukaemia, lymphoma"
B073z00,Read,malignant neoplasm of anterior wall of nasopharynx nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,100918,"Any tumour, leukaemia, lymphoma"
B074.00,Read,malignant neoplasm; overlapping lesion of nasopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,66422,"Any tumour, leukaemia, lymphoma"
B07y.00,Read,malignant neoplasm of other specified site of nasopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,55630,"Any tumour, leukaemia, lymphoma"
B07z.00,Read,malignant neoplasm of nasopharynx nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,28665,"Any tumour, leukaemia, lymphoma"
B08..00,Read,malignant neoplasm of hypopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,34012,"Any tumour, leukaemia, lymphoma"
B080.00,Read,malignant neoplasm of postcricoid region,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,43548,"Any tumour, leukaemia, lymphoma"
B081.00,Read,malignant neoplasm of pyriform sinus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,39897,"Any tumour, leukaemia, lymphoma"
B082.00,Read,malignant neoplasm aryepiglottic fold; hypopharyngeal aspect,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,57248,"Any tumour, leukaemia, lymphoma"
B083.00,Read,malignant neoplasm of posterior pharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,64462,"Any tumour, leukaemia, lymphoma"
B08y.00,Read,malignant neoplasm of other specified hypopharyngeal site,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,88362,"Any tumour, leukaemia, lymphoma"
B08z.00,Read,malignant neoplasm of hypopharynx nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,28451,"Any tumour, leukaemia, lymphoma"
B0z..00,Read,malig neop other/ill-defined sites lip; oral cavity; pharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,46114,"Any tumour, leukaemia, lymphoma"
B0z0.00,Read,malignant neoplasm of pharynx unspecified,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,16297,"Any tumour, leukaemia, lymphoma"
B0z1.00,Read,malignant neoplasm of waldeyer's ring,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95016,"Any tumour, leukaemia, lymphoma"
B0z2.00,Read,malignant neoplasm of laryngopharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,39084,"Any tumour, leukaemia, lymphoma"
B0zy.00,Read,malignant neoplasm of other sites lip; oral cavity; pharynx,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,49758,"Any tumour, leukaemia, lymphoma"
B0zz.00,Read,malignant neoplasm of lip; oral cavity and pharynx nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,39430,"Any tumour, leukaemia, lymphoma"
B1...00,Read,malignant neoplasm of digestive organs and peritoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,15709,"Any tumour, leukaemia, lymphoma"
B10..00,Read,malignant neoplasm of oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,1062,"Any tumour, leukaemia, lymphoma"
B100.00,Read,malignant neoplasm of cervical oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,61695,"Any tumour, leukaemia, lymphoma"
B101.00,Read,malignant neoplasm of thoracic oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,41362,"Any tumour, leukaemia, lymphoma"
B102.00,Read,malignant neoplasm of abdominal oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,63470,"Any tumour, leukaemia, lymphoma"
B103.00,Read,malignant neoplasm of upper third of oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,50789,"Any tumour, leukaemia, lymphoma"
B104.00,Read,malignant neoplasm of middle third of oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,54171,"Any tumour, leukaemia, lymphoma"
B105.00,Read,malignant neoplasm of lower third of oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,42416,"Any tumour, leukaemia, lymphoma"
B106.00,Read,malignant neoplasm; overlapping lesion of oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,67497,"Any tumour, leukaemia, lymphoma"
B107.00,Read,siewert type i adenocarcinoma,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,98142,"Any tumour, leukaemia, lymphoma"
B10y.00,Read,malignant neoplasm of other specified part of oesophagus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,53591,"Any tumour, leukaemia, lymphoma"
B10z.00,Read,malignant neoplasm of oesophagus nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,30700,"Any tumour, leukaemia, lymphoma"
B10z.11,Read,oesophageal cancer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,4865,"Any tumour, leukaemia, lymphoma"
B....11,Read,cancers,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,2755,"Any tumour, leukaemia, lymphoma"
B11..00,Read,malignant neoplasm of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,8386,"Any tumour, leukaemia, lymphoma"
B110.00,Read,malignant neoplasm of cardia of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,32022,"Any tumour, leukaemia, lymphoma"
B110000,Read,malignant neoplasm of cardiac orifice of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,100584,"Any tumour, leukaemia, lymphoma"
B110100,Read,malignant neoplasm of cardio-oesophageal junction of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,22894,"Any tumour, leukaemia, lymphoma"
B110111,Read,malignant neoplasm of gastro-oesophageal junction,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,94278,"Any tumour, leukaemia, lymphoma"
B110z00,Read,malignant neoplasm of cardia of stomach nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,37859,"Any tumour, leukaemia, lymphoma"
B1...11,Read,carcinoma of digestive organs and peritoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,3357,"Any tumour, leukaemia, lymphoma"
B111.00,Read,malignant neoplasm of pylorus of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,21620,"Any tumour, leukaemia, lymphoma"
B111000,Read,malignant neoplasm of prepylorus of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,48237,"Any tumour, leukaemia, lymphoma"
B11..11,Read,gastric neoplasm,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,10368,"Any tumour, leukaemia, lymphoma"
B111100,Read,malignant neoplasm of pyloric canal of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,41215,"Any tumour, leukaemia, lymphoma"
B111z00,Read,malignant neoplasm of pylorus of stomach nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,59092,"Any tumour, leukaemia, lymphoma"
B112.00,Read,malignant neoplasm of pyloric antrum of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,19318,"Any tumour, leukaemia, lymphoma"
B113.00,Read,malignant neoplasm of fundus of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,32362,"Any tumour, leukaemia, lymphoma"
B114.00,Read,malignant neoplasm of body of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,43572,"Any tumour, leukaemia, lymphoma"
B115.00,Read,malignant neoplasm of lesser curve of stomach unspecified,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,42193,"Any tumour, leukaemia, lymphoma"
B116.00,Read,malignant neoplasm of greater curve of stomach unspecified,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,55434,"Any tumour, leukaemia, lymphoma"
B117.00,Read,malignant neoplasm; overlapping lesion of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,51690,"Any tumour, leukaemia, lymphoma"
B118.00,Read,siewert type ii adenocarcinoma,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,97499,"Any tumour, leukaemia, lymphoma"
B119.00,Read,siewert type iii adenocarcinoma,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,96094,"Any tumour, leukaemia, lymphoma"
B11y.00,Read,malignant neoplasm of other specified site of stomach,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,55019,"Any tumour, leukaemia, lymphoma"
B11y000,Read,malignant neoplasm of anterior wall of stomach nec,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,65312,"Any tumour, leukaemia, lymphoma"
B11y100,Read,malignant neoplasm of posterior wall of stomach nec,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,96802,"Any tumour, leukaemia, lymphoma"
B11yz00,Read,malignant neoplasm of other specified site of stomach nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,65372,"Any tumour, leukaemia, lymphoma"
B11z.00,Read,malignant neoplasm of stomach nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,14800,"Any tumour, leukaemia, lymphoma"
B12..00,Read,malignant neoplasm of small intestine and duodenum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6806,"Any tumour, leukaemia, lymphoma"
B120.00,Read,malignant neoplasm of duodenum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18613,"Any tumour, leukaemia, lymphoma"
B121.00,Read,malignant neoplasm of jejunum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,43479,"Any tumour, leukaemia, lymphoma"
B122.00,Read,malignant neoplasm of ileum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,33871,"Any tumour, leukaemia, lymphoma"
B123.00,Read,malignant neoplasm of meckel's diverticulum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,63995,"Any tumour, leukaemia, lymphoma"
B124.00,Read,malignant neoplasm; overlapping lesion of small intestine,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,66166,"Any tumour, leukaemia, lymphoma"
B12y.00,Read,malignant neoplasm of other specified site small intestine,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,99896,"Any tumour, leukaemia, lymphoma"
B12z.00,Read,malignant neoplasm of small intestine nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,43390,"Any tumour, leukaemia, lymphoma"
B13..00,Read,malignant neoplasm of colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,1220,"Any tumour, leukaemia, lymphoma"
B130.00,Read,malignant neoplasm of hepatic flexure of colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,9088,"Any tumour, leukaemia, lymphoma"
B131.00,Read,malignant neoplasm of transverse colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6935,"Any tumour, leukaemia, lymphoma"
B132.00,Read,malignant neoplasm of descending colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,10864,"Any tumour, leukaemia, lymphoma"
B133.00,Read,malignant neoplasm of sigmoid colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,2815,"Any tumour, leukaemia, lymphoma"
B134.00,Read,malignant neoplasm of caecum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,3811,"Any tumour, leukaemia, lymphoma"
B134.11,Read,carcinoma of caecum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,22163,"Any tumour, leukaemia, lymphoma"
B135.00,Read,malignant neoplasm of appendix,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18632,"Any tumour, leukaemia, lymphoma"
B136.00,Read,malignant neoplasm of ascending colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,10946,"Any tumour, leukaemia, lymphoma"
B137.00,Read,malignant neoplasm of splenic flexure of colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18619,"Any tumour, leukaemia, lymphoma"
B138.00,Read,malignant neoplasm; overlapping lesion of colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,93478,"Any tumour, leukaemia, lymphoma"
B139.00,Read,hereditary nonpolyposis colon cancer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,101700,"Any tumour, leukaemia, lymphoma"
B13y.00,Read,malignant neoplasm of other specified sites of colon,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,48231,"Any tumour, leukaemia, lymphoma"
B13z.00,Read,malignant neoplasm of colon nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,28163,"Any tumour, leukaemia, lymphoma"
B13z.11,Read,colonic cancer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,9118,"Any tumour, leukaemia, lymphoma"
B14..00,Read,malignant neoplasm of rectum; rectosigmoid junction and anus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,35357,"Any tumour, leukaemia, lymphoma"
B140.00,Read,malignant neoplasm of rectosigmoid junction,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,27855,"Any tumour, leukaemia, lymphoma"
B141.00,Read,malignant neoplasm of rectum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,1800,"Any tumour, leukaemia, lymphoma"
B141.11,Read,carcinoma of rectum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,7219,"Any tumour, leukaemia, lymphoma"
B141.12,Read,rectal carcinoma,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,5901,"Any tumour, leukaemia, lymphoma"
B142.00,Read,malignant neoplasm of anal canal,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,24370,"Any tumour, leukaemia, lymphoma"
B142000,Read,malignant neoplasm of cloacogenic zone,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,46159,"Any tumour, leukaemia, lymphoma"
B142.11,Read,anal carcinoma,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,9491,"Any tumour, leukaemia, lymphoma"
B143.00,Read,malignant neoplasm of anus unspecified,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,27897,"Any tumour, leukaemia, lymphoma"
B14y.00,Read,malig neop other site rectum; rectosigmoid junction and anus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,55659,"Any tumour, leukaemia, lymphoma"
B14z.00,Read,malignant neoplasm rectum;rectosigmoid junction and anus nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,50974,"Any tumour, leukaemia, lymphoma"
B15..00,Read,malignant neoplasm of liver and intrahepatic bile ducts,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,8918,"Any tumour, leukaemia, lymphoma"
B150.00,Read,primary malignant neoplasm of liver,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,25535,"Any tumour, leukaemia, lymphoma"
B150000,Read,primary carcinoma of liver,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,16126,"Any tumour, leukaemia, lymphoma"
B150100,Read,hepatoblastoma of liver,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,31210,"Any tumour, leukaemia, lymphoma"
B150200,Read,primary angiosarcoma of liver,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,68410,"Any tumour, leukaemia, lymphoma"
B150300,Read,hepatocellular carcinoma,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,22187,"Any tumour, leukaemia, lymphoma"
B150z00,Read,primary malignant neoplasm of liver nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,44399,"Any tumour, leukaemia, lymphoma"
B151.00,Read,malignant neoplasm of intrahepatic bile ducts,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,16915,"Any tumour, leukaemia, lymphoma"
B151000,Read,malignant neoplasm of interlobular bile ducts,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,65124,"Any tumour, leukaemia, lymphoma"
B151100,Read,malignant neoplasm of interlobular biliary canals,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,110775,"Any tumour, leukaemia, lymphoma"
B151200,Read,malignant neoplasm of intrahepatic biliary passages,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,89593,"Any tumour, leukaemia, lymphoma"
B151400,Read,malignant neoplasm of intrahepatic gall duct,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,58088,"Any tumour, leukaemia, lymphoma"
B151z00,Read,malignant neoplasm of intrahepatic bile ducts nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,61643,"Any tumour, leukaemia, lymphoma"
B152.00,Read,malignant neoplasm of liver unspecified,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,26393,"Any tumour, leukaemia, lymphoma"
B153.00,Read,secondary malignant neoplasm of liver,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,36147,Metastatic tumour
B15z.00,Read,malignant neoplasm of liver and intrahepatic bile ducts nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,38978,"Any tumour, leukaemia, lymphoma"
B16..00,Read,malignant neoplasm gallbladder and extrahepatic bile ducts,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,54103,"Any tumour, leukaemia, lymphoma"
B160.00,Read,malignant neoplasm of gallbladder,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,16105,"Any tumour, leukaemia, lymphoma"
B160.11,Read,carcinoma gallbladder,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,31393,"Any tumour, leukaemia, lymphoma"
B161.00,Read,malignant neoplasm of extrahepatic bile ducts,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,23433,"Any tumour, leukaemia, lymphoma"
B161000,Read,malignant neoplasm of cystic duct,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,72445,"Any tumour, leukaemia, lymphoma"
B161100,Read,malignant neoplasm of hepatic duct,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,52537,"Any tumour, leukaemia, lymphoma"
B161200,Read,malignant neoplasm of common bile duct,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,7982,"Any tumour, leukaemia, lymphoma"
B161211,Read,carcinoma common bile duct,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,36495,"Any tumour, leukaemia, lymphoma"
B161300,Read,malignant neoplasm of sphincter of oddi,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,105613,"Any tumour, leukaemia, lymphoma"
B161z00,Read,malignant neoplasm of extrahepatic bile ducts nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,74896,"Any tumour, leukaemia, lymphoma"
B162.00,Read,malignant neoplasm of ampulla of vater,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,10949,"Any tumour, leukaemia, lymphoma"
B163.00,Read,malignant neoplasm; overlapping lesion of biliary tract,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,35039,"Any tumour, leukaemia, lymphoma"
B16y.00,Read,malignant neoplasm other gallbladder/extrahepatic bile duct,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,60312,"Any tumour, leukaemia, lymphoma"
B16z.00,Read,malignant neoplasm gallbladder/extrahepatic bile ducts nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,15907,"Any tumour, leukaemia, lymphoma"
B17..00,Read,malignant neoplasm of pancreas,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,8166,"Any tumour, leukaemia, lymphoma"
B170.00,Read,malignant neoplasm of head of pancreas,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,8771,"Any tumour, leukaemia, lymphoma"
B171.00,Read,malignant neoplasm of body of pancreas,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,40810,"Any tumour, leukaemia, lymphoma"
B172.00,Read,malignant neoplasm of tail of pancreas,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,39870,"Any tumour, leukaemia, lymphoma"
B173.00,Read,malignant neoplasm of pancreatic duct,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,35535,"Any tumour, leukaemia, lymphoma"
B174.00,Read,malignant neoplasm of islets of langerhans,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,35795,"Any tumour, leukaemia, lymphoma"
B175.00,Read,malignant neoplasm; overlapping lesion of pancreas,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,97875,"Any tumour, leukaemia, lymphoma"
B17y.00,Read,malignant neoplasm of other specified sites of pancreas,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,48537,"Any tumour, leukaemia, lymphoma"
B17y000,Read,malignant neoplasm of ectopic pancreatic tissue,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,96635,"Any tumour, leukaemia, lymphoma"
B17yz00,Read,malignant neoplasm of specified site of pancreas nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95783,"Any tumour, leukaemia, lymphoma"
B17z.00,Read,malignant neoplasm of pancreas nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,34388,"Any tumour, leukaemia, lymphoma"
B18..00,Read,malignant neoplasm of retroperitoneum and peritoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,44108,"Any tumour, leukaemia, lymphoma"
B180.00,Read,malignant neoplasm of retroperitoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,21330,"Any tumour, leukaemia, lymphoma"
B180000,Read,malignant neoplasm of periadrenal tissue,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,113076,"Any tumour, leukaemia, lymphoma"
B180100,Read,malignant neoplasm of perinephric tissue,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,65159,"Any tumour, leukaemia, lymphoma"
B180200,Read,malignant neoplasm of retrocaecal tissue,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,24048,"Any tumour, leukaemia, lymphoma"
B180z00,Read,malignant neoplasm of retroperitoneum nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,61555,"Any tumour, leukaemia, lymphoma"
B181.00,Read,mesothelioma of peritoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,17874,"Any tumour, leukaemia, lymphoma"
B182.00,Read,overlapping malign lesion of retroperitoneum and peritoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,101907,"Any tumour, leukaemia, lymphoma"
B18y.00,Read,malignant neoplasm of specified parts of peritoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,46613,"Any tumour, leukaemia, lymphoma"
B18y100,Read,malignant neoplasm of mesocaecum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,59388,"Any tumour, leukaemia, lymphoma"
B18y200,Read,malignant neoplasm of mesorectum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,30165,"Any tumour, leukaemia, lymphoma"
B18y300,Read,malignant neoplasm of omentum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,50898,"Any tumour, leukaemia, lymphoma"
B18y400,Read,malignant neoplasm of parietal peritoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,64516,"Any tumour, leukaemia, lymphoma"
B18y500,Read,malignant neoplasm of pelvic peritoneum,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,39413,"Any tumour, leukaemia, lymphoma"
B18y600,Read,malignant neoplasm of the pouch of douglas,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,69821,"Any tumour, leukaemia, lymphoma"
B18y700,Read,malignant neoplasm of mesentery,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,90290,"Any tumour, leukaemia, lymphoma"
B18yz00,Read,malignant neoplasm of specified parts of peritoneum nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,64106,"Any tumour, leukaemia, lymphoma"
B18z.00,Read,malignant neoplasm of retroperitoneum and peritoneum nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,16298,"Any tumour, leukaemia, lymphoma"
